"created_at","text","rts","fav_count","tweet_id","link","screen_name","location","in_reply_to_screen_name","in_reply_to_status_id","in_reply_to_user_id","latitude","longitude","mention_ids","mention_screen_names","place_latitude","place_longitude","user_id","created_at_user","description","favourites_count","followers_count","friends_count","geo_enabled","name","statuses_count","time_zone","verified"
"2020-08-02 11:51:40-03:00","Una obra brillante para una vida apasionante dedicada a liberar a la humanidad de la explotación y la opresión. Gran trabajo de @Ediciones_IPS a 80 años del asesinato de Trotsky. 
https://t.co/6wSzUJvnJb","22","68","1289936910631272451","https://twitter.com/NicolasdelCano/status/1289936910631272451","NicolasdelCano","Argentina","","","","","","(u'925113848323104769',)","Ediciones_IPS","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-08-02 11:14:51-03:00","La Policía de Larreta detuvo brutalmente a una decena de manifestantes por Santiago y Facundo https://t.co/yZ98gtXwpi, vía @izquierdadiario","41","98","1289927649364783106","https://twitter.com/NicolasdelCano/status/1289927649364783106","NicolasdelCano","Argentina","","","","","","(u'2573916020',)","izquierdadiario","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-08-01 13:06:50-03:00","Una Ley de moratoria donde se pone al mismo nivel a pequeños contribuyentes, incluso monotributistas de las categorías más bajas, con las grandes empresas. En cambio, se le da beneficios a grandes estafadores como los dueños de Vicentín. https://t.co/TlC6t2y6Zk","9","34","1289593442113265664","https://twitter.com/NicolasdelCano/status/1289593442113265664","NicolasdelCano","Argentina","","","","","","(u'',)","","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-08-01 12:22:50-03:00","Santiago Maldonado, Presente!! Basta de impunidad! Castigo a los responsables políticos y materiales de un verdadero crimen de estado. #JusticiaPorSantiago https://t.co/AVvmVpyMZU","53","186","1289582369825886208","https://twitter.com/NicolasdelCano/status/1289582369825886208","NicolasdelCano","Argentina","","","","","","(u'',)","","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-07-31 20:07:30-03:00","¿Quién se hace cargo de la propuesta superadora de Perotti para Vicentín?","26","86","1289336916677025792","https://twitter.com/NicolasdelCano/status/1289336916677025792","NicolasdelCano","Argentina","","","","","","(u'',)","","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-07-31 19:50:35-03:00","Es lo que plantea el proyecto que presentamos desde el @Fte_Izquierda en el Congreso Nacional y los bloques mayoritarios se negaron a tratarlo.","7","31","1289332658443554818","https://twitter.com/NicolasdelCano/status/1289332658443554818","NicolasdelCano","Argentina","NicolasdelCano","1289332656627314689","374115730","","","(u'301464513',)","Fte_Izquierda","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-07-31 19:50:34-03:00","Para garantizar la continuidad laboral, el pago a pequeños productores y cobrarse al estafa al estado, la expropiación sin pago a los empresarios vaciadores y la estatización bajo gestión de sus trabajadores, es el único camino para Vicentín.","49","153","1289332656627314689","https://twitter.com/NicolasdelCano/status/1289332656627314689","NicolasdelCano","Argentina","","","","","","(u'',)","","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-07-31 16:54:21-03:00","Homenaje a Santiago Maldonado. A 3 años de su desaparición su crimen sigue impune. Patricia Bullrich es responsable. https://t.co/d5csQPzyVk","151","511","1289288311593467904","https://twitter.com/NicolasdelCano/status/1289288311593467904","NicolasdelCano","Argentina","","","","","","(u'',)","","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-07-31 14:22:16-03:00","La patronal de LATAM chantajea a sus trabajadores. Más de 3000 puestos de trabajo están en riesgo. Pero parece que a Cafiero no le interesó el tema y no respondió. https://t.co/28wlQQmEgo","36","91","1289250036119769088","https://twitter.com/NicolasdelCano/status/1289250036119769088","NicolasdelCano","Argentina","","","","","","(u'',)","","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
"2020-07-31 11:01:42-03:00","@federicefepeve @Fte_Izquierda @SantiCafiero No sé que habrá pasado con el piano, lo que sí sabemos es que Antonio Cafiero nombro al torturador y asesino Santuchone como jefe de la policía de Mendoza.","4","27","1289199562746245120","https://twitter.com/NicolasdelCano/status/1289199562746245120","NicolasdelCano","Argentina","federicefepeve","1289014137478172672","1260567905328136196","","","(u'1260567905328136196, 301464513, 42637609',)","federicefepeve, Fte_Izquierda, SantiCafiero","","","374115730","2011-09-15 15:49:31-03:00","Diputado Nacional. @PTSarg - @Fte_Izquierda.","16367","136063","1259","True","Nicolas del Caño","25562","","True"
